player_id,age_at_debut,g_batting,ab,h_batting,hr_batting,rbi,BA,OBP,SLG,OPS_consistency,w,l,ERA,WHIP,so_pitching,sv,ERA_consistency,pos,awards_count,HR_per_AB,SO_per_IP,peak_performance,weight,height,bats,throws,age_at_retirement,career_length,reached_3000_hits,reached_500_HR,reached_300_wins
aardsda01,23,331.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,4.27299703264095,1.4213649851632046,340.0,69.0,1.9675238337531675,P,0.0,0.0,1.0089020771513353,4.27299703264095,220.0,75.0,R,R,34,11.378507871321013,False,False,False
aaronha01,20,3298.0,12364.0,3771.0,755.0,2297.0,0.30499838240051763,0.3739492779653711,0.5545131025558072,0.10172868152636934,,,,,,,,OF,16.0,0.06106438045939825,,0.9284623805211782,180.0,72.0,R,R,42,22.47501711156742,True,True,False
aaronto01,23,437.0,944.0,216.0,13.0,94.0,0.2288135593220339,0.2915057915057915,0.3273305084745763,0.08715691704484381,,,,,,,,1B,0.0,0.013771186440677966,,0.6188362999803678,190.0,75.0,R,R,32,9.462012320328542,False,False,False
aasedo01,23,448.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,66.0,60.0,3.7968750000000004,1.3900240384615385,641.0,82.0,0.9973243169708372,P,0.0,0.0,0.5778245192307693,3.7968750000000004,190.0,75.0,R,R,36,13.188227241615332,False,False,False
abadan01,29,15.0,21.0,2.0,0.0,0.0,0.09523809523809523,0.24,0.09523809523809523,0.21325134931943981,,,,,,,,1B,0.0,0.0,,0.3352380952380952,184.0,73.0,L,L,34,4.588637919233402,False,False,False
abadfe01,25,258.0,8.0,1.0,0.0,0.0,0.125,0.125,0.125,0.20203050891044214,5.0,20.0,3.721407624633431,1.3064516129032258,193.0,0.0,1.9949738922044902,P,0.0,0.0,0.8489736070381231,3.721407624633431,220.0,73.0,L,L,30,5.1827515400410675,False,False,False
abadijo01,21,12.0,49.0,11.0,0.0,5.0,0.22448979591836735,0.22448979591836735,0.22448979591836735,,,,,,,,,1B,0.0,0.0,,0.4489795918367347,192.0,72.0,R,R,21,0.12320328542094455,False,False,False
abbated01,20,855.0,3044.0,772.0,11.0,324.0,0.2536136662286465,0.32501485442661915,0.3252299605781866,,,,,,,,,2B,0.0,0.0036136662286465177,,0.6502448150048057,170.0,71.0,R,R,33,13.026694045174539,False,False,False
abbeybe01,23,79.0,225.0,38.0,0.0,17.0,0.1688888888888889,0.23983739837398374,0.2088888888888889,,22.0,40.0,4.515845070422535,1.545774647887324,161.0,1.0,0.8154779590123814,P,0.0,0.0,0.2834507042253521,4.515845070422535,175.0,71.0,R,R,27,4.276522929500342,False,False,False
abbeych01,27,451.0,1751.0,492.0,19.0,280.0,0.28098229583095374,0.35136527563111797,0.40434037692747,,0.0,0.0,4.5,3.0,0.0,0.0,,OF,0.0,0.010850942318675044,0.0,4.5,169.0,68.0,L,L,31,4.008213552361396,False,False,False
